alias	dataset_id	dataset_version
ocr-PIRA-cohort	db7592d0-6206-5684-a29c-8059a6033241	0.1.0
jumax	3f8a45c0-08fc-479c-b561-cb6f744d2b5c	32f3303308c89b037fe1700547348470539a30cb
movies	0036b2c6-f131-4660-9ef9-945087ad02d3	1139b4c82d7ecd0d9ab25bf4c00ec2c06461d6da
ema_pilot	372e66b3-e654-4a0f-ba4c-6394bf314f2f	d468e9a9455b38b959db34bc5335fd66e42b2884
abcdj	1015ed7c-0a3d-4dfc-9c4f-11fe71673a41	656a74dd70558c5eb834d79f80db5884ff8caeb7
Gliem-Pavic	d72933c1-a660-5970-8bfd-48fcdac59dc5	latest
spex	c0ebe952-528e-40c8-a44f-4a80bff28ffb	4f5d78d24e6be85d26e22fbc088b2d8469163758
